NAME,S1901_C01_012E,state,county
"Effingham County, Georgia",89885,13,103
"Fayette County, Georgia",108643,13,113
"Floyd County, Georgia",56420,13,115
"Forsyth County, Georgia",129410,13,117
"Fulton County, Georgia",90346,13,121
"Glynn County, Georgia",63228,13,127
"Gwinnett County, Georgia",83901,13,135
"Hall County, Georgia",76888,13,139
"Henry County, Georgia",81988,13,151
"Houston County, Georgia",71068,13,153
"Jackson County, Georgia",83843,13,157
"Liberty County, Georgia",61546,13,179
"Lowndes County, Georgia",52307,13,185
"Muscogee County, Georgia",53750,13,215
"Newton County, Georgia",73579,13,217
"Paulding County, Georgia",86847,13,223
"Richmond County, Georgia",49915,13,245
"Rockdale County, Georgia",73998,13,247
"Spalding County, Georgia",54803,13,255
"Troup County, Georgia",57988,13,285
"Walker County, Georgia",52957,13,295
"Walton County, Georgia",86240,13,297
"Whitfield County, Georgia",61037,13,313
"Hawaii County, Hawaii",72568,15,001
"Honolulu County, Hawaii",96580,15,003
"Kauai County, Hawaii",87730,15,007
"Maui County, Hawaii",94760,15,009
"Ada County, Idaho",87774,16,001
"Bannock County, Idaho",61452,16,005
"Bonneville County, Idaho",74154,16,019
"Canyon County, Idaho",70818,16,027
"Kootenai County, Idaho",75328,16,055
"Twin Falls County, Idaho",63560,16,083
"Champaign County, Illinois",60168,17,019
"Cook County, Illinois",76632,17,031
"DeKalb County, Illinois",68590,17,037
"DuPage County, Illinois",102152,17,043
"Kane County, Illinois",93343,17,089
"Kankakee County, Illinois",71416,17,091
"Kendall County, Illinois",101447,17,093
"Lake County, Illinois",101442,17,097
"LaSalle County, Illinois",63626,17,099
"McHenry County, Illinois",98907,17,111
"McLean County, Illinois",70674,17,113
"Macon County, Illinois",60332,17,115
"Madison County, Illinois",66996,17,119
"Peoria County, Illinois",65301,17,143
"Rock Island County, Illinois",62086,17,161
"St. Clair County, Illinois",67395,17,163
"Sangamon County, Illinois",73784,17,167
"Tazewell County, Illinois",72930,17,179
"Vermilion County, Illinois",51515,17,183
"Will County, Illinois",96668,17,197
"Williamson County, Illinois",67631,17,199
"Winnebago County, Illinois",62011,17,201
"Allen County, Indiana",65732,18,003
"Bartholomew County, Indiana",65739,18,005
"Boone County, Indiana",102005,18,011
"Clark County, Indiana",68350,18,019
"Delaware County, Indiana",54087,18,035
"Elkhart County, Indiana",61922,18,039
"Floyd County, Indiana",73899,18,043
"Grant County, Indiana",50366,18,053
"Hamilton County, Indiana",114807,18,057
"Hancock County, Indiana",86504,18,059
"Hendricks County, Indiana",93193,18,063
"Howard County, Indiana",55297,18,067
"Johnson County, Indiana",81670,18,081
"Kosciusko County, Indiana",68778,18,085
"Lake County, Indiana",66085,18,089
"LaPorte County, Indiana",66659,18,091
"Madison County, Indiana",58937,18,095
"Marion County, Indiana",62565,18,097
"Monroe County, Indiana",65043,18,105
"Morgan County, Indiana",75344,18,109
"Porter County, Indiana",83395,18,127
"St. Joseph County, Indiana",60627,18,141
"Tippecanoe County, Indiana",54168,18,157
"Vanderburgh County, Indiana",57028,18,163
"Vigo County, Indiana",51125,18,167
"Warrick County, Indiana",79901,18,173
"Wayne County, Indiana",49024,18,177
"Black Hawk County, Iowa",60529,19,013
"Dallas County, Iowa",105132,19,049
"Dubuque County, Iowa",73671,19,061
"Johnson County, Iowa",74140,19,103
"Linn County, Iowa",72527,19,113
"Polk County, Iowa",77038,19,153
"Pottawattamie County, Iowa",68681,19,155
"Scott County, Iowa",66832,19,163
"Story County, Iowa",66033,19,169
"Woodbury County, Iowa",67817,19,193
"Butler County, Kansas",80853,20,015
"Douglas County, Kansas",65774,20,045
"Johnson County, Kansas",98523,20,091
"Leavenworth County, Kansas",77925,20,103
"Riley County, Kansas",53043,20,161
"Sedgwick County, Kansas",64286,20,173
"Shawnee County, Kansas",60544,20,177
"Wyandotte County, Kansas",59362,20,209
"Boone County, Kentucky",89931,21,015
"Bullitt County, Kentucky",76810,21,029
"Campbell County, Kentucky",72967,21,037
"Christian County, Kentucky",60767,21,047
"Daviess County, Kentucky",66837,21,059
"Fayette County, Kentucky",62908,21,067
"Hardin County, Kentucky",60878,21,093
"Jefferson County, Kentucky",64619,21,111
"Kenton County, Kentucky",77099,21,117
"McCracken County, Kentucky",60935,21,145
"Madison County, Kentucky",60685,21,151
"Oldham County, Kentucky",115187,21,185
"Pulaski County, Kentucky",44649,21,199
"Warren County, Kentucky",59784,21,227
"Ascension Parish, Louisiana",79515,22,005
"Bossier Parish, Louisiana",62421,22,015
"Caddo Parish, Louisiana",46967,22,017
"Calcasieu Parish, Louisiana",62197,22,019
"East Baton Rouge Parish, Louisiana",61387,22,033
"Iberia Parish, Louisiana",43513,22,045
"Jefferson Parish, Louisiana",61397,22,051
"Lafayette Parish, Louisiana",56496,22,055
"Lafourche Parish, Louisiana",58593,22,057
"Livingston Parish, Louisiana",73126,22,063
"Orleans Parish, Louisiana",52322,22,071
"Ouachita Parish, Louisiana",45840,22,073
"Rapides Parish, Louisiana",58161,22,079
"St. Landry Parish, Louisiana",41976,22,097
"St. Tammany Parish, Louisiana",76269,22,103
"Tangipahoa Parish, Louisiana",55391,22,105
"Terrebonne Parish, Louisiana",57299,22,109
"Androscoggin County, Maine",63438,23,001
"Aroostook County, Maine",51395,23,003
"Cumberland County, Maine",89345,23,005
"Kennebec County, Maine",62943,23,011
"Penobscot County, Maine",61134,23,019
"York County, Maine",81928,23,031
"Allegany County, Maryland",46913,24,001
"Anne Arundel County, Maryland",113125,24,003
"Baltimore County, Maryland",86526,24,005
"Calvert County, Maryland",120097,24,009
"Carroll County, Maryland",104942,24,013
"Cecil County, Maryland",86292,24,015
"Charles County, Maryland",115880,24,017
"Frederick County, Maryland",119122,24,021
"Harford County, Maryland",100915,24,025
"Howard County, Maryland",133438,24,027
"Montgomery County, Maryland",118323,24,031
"Prince George's County, Maryland",94441,24,033
"St. Mary's County, Maryland",113717,24,037
"Washington County, Maryland",69244,24,043
"Wicomico County, Maryland",72198,24,045
"Baltimore city, Maryland",55198,24,510
"Barnstable County, Massachusetts",91438,25,001
"Berkshire County, Massachusetts",74176,25,003
"Bristol County, Massachusetts",81551,25,005
"Essex County, Massachusetts",92413,25,009
"Franklin County, Massachusetts",70306,25,011
"Hampden County, Massachusetts",63866,25,013
"Hampshire County, Massachusetts",82078,25,015
"Middlesex County, Massachusetts",118800,25,017
"Norfolk County, Massachusetts",115969,25,021
"Plymouth County, Massachusetts",103173,25,023
"Suffolk County, Massachusetts",85358,25,025
"Worcester County, Massachusetts",86258,25,027
"Allegan County, Michigan",75901,26,005
"Bay County, Michigan",55134,26,017
"Berrien County, Michigan",61333,26,021
"Calhoun County, Michigan",59522,26,025
"Clinton County, Michigan",78702,26,037
"Eaton County, Michigan",71013,26,045
"Genesee County, Michigan",57003,26,049
"Grand Traverse County, Michigan",74344,26,055
"Ingham County, Michigan",59823,26,065
"Ionia County, Michigan",75865,26,067
"Jackson County, Michigan",59059,26,075
"Kalamazoo County, Michigan",69584,26,077
"Kent County, Michigan",77028,26,081
"Lapeer County, Michigan",71551,26,087
"Lenawee County, Michigan",67267,26,091
"Livingston County, Michigan",100139,26,093
"Macomb County, Michigan",73830,26,099
"Marquette County, Michigan",61474,26,103
"Midland County, Michigan",78487,26,111
"Monroe County, Michigan",69563,26,115
"Montcalm County, Michigan",61967,26,117
"Muskegon County, Michigan",58074,26,121
"Oakland County, Michigan",90594,26,125
"Ottawa County, Michigan",85652,26,139
"Saginaw County, Michigan",53646,26,145
"St. Clair County, Michigan",63510,26,147
"Shiawassee County, Michigan",61564,26,155
"Van Buren County, Michigan",60182,26,159
"Washtenaw County, Michigan",79665,26,161
"Wayne County, Michigan",55867,26,163
"Anoka County, Minnesota",92133,27,003
"Blue Earth County, Minnesota",68104,27,013
"Carver County, Minnesota",116158,27,019
"Clay County, Minnesota",81386,27,027
"Crow Wing County, Minnesota",66568,27,035
"Dakota County, Minnesota",97501,27,037
"Hennepin County, Minnesota",89399,27,053
"Olmsted County, Minnesota",86976,27,109
"Ramsey County, Minnesota",75113,27,123
"Rice County, Minnesota",76319,27,131
"St. Louis County, Minnesota",62704,27,137
"Scott County, Minnesota",113311,27,139
"Sherburne County, Minnesota",96889,27,141
"Stearns County, Minnesota",71880,27,145
"Washington County, Minnesota",106509,27,163
"Wright County, Minnesota",93602,27,171
"DeSoto County, Mississippi",79747,28,033
"Forrest County, Mississippi",53464,28,035
"Harrison County, Mississippi",56041,28,047
"Hinds County, Mississippi",46672,28,049
"Jackson County, Mississippi",60966,28,059
"Jones County, Mississippi",59815,28,067
"Lamar County, Mississippi",59560,28,073
"Lauderdale County, Mississippi",49904,28,075
"Lee County, Mississippi",57229,28,081
"Madison County, Mississippi",76446,28,089
"Rankin County, Mississippi",72034,28,121
"Boone County, Missouri",62561,29,019
"Buchanan County, Missouri",56386,29,021
"Cape Girardeau County, Missouri",64679,29,031
"Cass County, Missouri",76601,29,037
"Christian County, Missouri",73047,29,043
"Clay County, Missouri",77612,29,047
"Cole County, Missouri",70669,29,051
"Franklin County, Missouri",62694,29,071
"Greene County, Missouri",55098,29,077
"Jackson County, Missouri",62422,29,095
"Jasper County, Missouri",53486,29,097
"Jefferson County, Missouri",78568,29,099
"Platte County, Missouri",92386,29,165
"St. Charles County, Missouri",98831,29,183
"St. Francois County, Missouri",46775,29,187
"St. Louis County, Missouri",79440,29,189
"St. Louis city, Missouri",52847,29,510
"Cascade County, Montana",58698,30,013
"Flathead County, Montana",65680,30,029
"Gallatin County, Montana",83064,30,031
"Lewis and Clark County, Montana",72250,30,049
"Missoula County, Montana",68305,30,063
