NAME,S1901_C01_012E,state,county
"Harrison County, Texas",69212,48,203
"Hays County, Texas",88617,48,209
"Henderson County, Texas",65283,48,213
"Hidalgo County, Texas",49142,48,215
"Hood County, Texas",69462,48,221
"Hunt County, Texas",69253,48,231
"Jefferson County, Texas",54797,48,245
"Johnson County, Texas",76320,48,251
"Kaufman County, Texas",94868,48,257
"Liberty County, Texas",61525,48,291
"Lubbock County, Texas",59161,48,303
"McLennan County, Texas",64320,48,309
"Midland County, Texas",76332,48,329
"Montgomery County, Texas",94972,48,339
"Nueces County, Texas",60361,48,355
"Orange County, Texas",64601,48,361
"Parker County, Texas",96017,48,367
"Potter County, Texas",50661,48,375
"Randall County, Texas",76744,48,381
"Rockwall County, Texas",123767,48,397
"San Patricio County, Texas",64741,48,409
"Smith County, Texas",68192,48,423
"Starr County, Texas",33871,48,427
"Tarrant County, Texas",76210,48,439
"Taylor County, Texas",62107,48,441
"Tom Green County, Texas",59853,48,451
"Travis County, Texas",95259,48,453
"Victoria County, Texas",71192,48,469
"Walker County, Texas",51528,48,471
"Webb County, Texas",59603,48,479
"Wichita County, Texas",56944,48,485
"Williamson County, Texas",101323,48,491
"Wise County, Texas",80305,48,497
"Cache County, Utah",76457,49,005
"Davis County, Utah",103563,49,011
"Salt Lake County, Utah",91924,49,035
"Tooele County, Utah",91386,49,045
"Utah County, Utah",95338,49,049
"Washington County, Utah",74543,49,053
"Weber County, Utah",83949,49,057
"Chittenden County, Vermont",87614,50,007
"Albemarle County, Virginia",93691,51,003
"Arlington County, Virginia",132380,51,013
"Augusta County, Virginia",80182,51,015
"Bedford County, Virginia",71751,51,019
"Chesterfield County, Virginia",100702,51,041
"Fairfax County, Virginia",145164,51,059
"Fauquier County, Virginia",130261,51,061
"Frederick County, Virginia",98870,51,069
"Hanover County, Virginia",103076,51,085
"Henrico County, Virginia",81985,51,087
"James City County, Virginia",99432,51,095
"Loudoun County, Virginia",167531,51,107
"Montgomery County, Virginia",71290,51,121
"Prince William County, Virginia",120398,51,153
"Roanoke County, Virginia",75258,51,161
"Rockingham County, Virginia",72618,51,165
"Spotsylvania County, Virginia",95870,51,177
"Stafford County, Virginia",138378,51,179
"York County, Virginia",116524,51,199
"Alexandria city, Virginia",111955,51,510
"Chesapeake city, Virginia",87749,51,550
"Hampton city, Virginia",64924,51,650
"Lynchburg city, Virginia",49076,51,680
"Newport News city, Virginia",64102,51,700
"Norfolk city, Virginia",61090,51,710
"Portsmouth city, Virginia",54611,51,740
"Richmond city, Virginia",58988,51,760
"Roanoke city, Virginia",49570,51,770
"Suffolk city, Virginia",83144,51,800
"Virginia Beach city, Virginia",83245,51,810
"Benton County, Washington",85529,53,005
"Chelan County, Washington",86282,53,007
"Clallam County, Washington",66139,53,009
"Clark County, Washington",91248,53,011
"Cowlitz County, Washington",72055,53,015
"Franklin County, Washington",79224,53,021
"Grant County, Washington",63819,53,025
"Grays Harbor County, Washington",62523,53,027
"Island County, Washington",81783,53,029
"King County, Washington",116255,53,033
"Kitsap County, Washington",94775,53,035
"Lewis County, Washington",69067,53,041
"Mason County, Washington",80139,53,045
"Pierce County, Washington",93420,53,053
"Skagit County, Washington",79001,53,057
"Snohomish County, Washington",101532,53,061
"Spokane County, Washington",69070,53,063
"Thurston County, Washington",88853,53,067
"Whatcom County, Washington",79220,53,073
"Yakima County, Washington",63865,53,077
"Berkeley County, West Virginia",69558,54,003
"Cabell County, West Virginia",52237,54,011
"Harrison County, West Virginia",58092,54,033
"Kanawha County, West Virginia",55215,54,039
"Monongalia County, West Virginia",55708,54,061
"Raleigh County, West Virginia",51705,54,081
"Wood County, West Virginia",58787,54,107
"Brown County, Wisconsin",71127,55,009
"Chippewa County, Wisconsin",75128,55,017
"Dane County, Wisconsin",84831,55,025
"Dodge County, Wisconsin",67762,55,027
"Eau Claire County, Wisconsin",70411,55,035
"Fond du Lac County, Wisconsin",69948,55,039
"Jefferson County, Wisconsin",78628,55,055
"Kenosha County, Wisconsin",74534,55,059
"La Crosse County, Wisconsin",69492,55,063
"Manitowoc County, Wisconsin",61673,55,071
"Marathon County, Wisconsin",69740,55,073
"Milwaukee County, Wisconsin",58214,55,079
"Outagamie County, Wisconsin",78234,55,087
"Ozaukee County, Wisconsin",88781,55,089
"Portage County, Wisconsin",70061,55,097
"Racine County, Wisconsin",71788,55,101
"Rock County, Wisconsin",66451,55,105
"St. Croix County, Wisconsin",96130,55,109
"Sauk County, Wisconsin",69475,55,111
"Sheboygan County, Wisconsin",62978,55,117
"Walworth County, Wisconsin",72713,55,127
"Washington County, Wisconsin",88807,55,131
"Waukesha County, Wisconsin",98849,55,133
"Winnebago County, Wisconsin",69405,55,139
"Wood County, Wisconsin",63643,55,141
"Laramie County, Wyoming",71621,56,021
"Natrona County, Wyoming",69627,56,025
"Arecibo Municipio, Puerto Rico",25016,72,013
"Bayamón Municipio, Puerto Rico",27843,72,021
"Caguas Municipio, Puerto Rico",24929,72,025
"Carolina Municipio, Puerto Rico",35776,72,031
"Guaynabo Municipio, Puerto Rico",41202,72,061
"Mayagüez Municipio, Puerto Rico",17836,72,097
"Ponce Municipio, Puerto Rico",17700,72,113
"San Juan Municipio, Puerto Rico",25163,72,127
"Toa Alta Municipio, Puerto Rico",44584,72,135
"Toa Baja Municipio, Puerto Rico",29850,72,137
"Trujillo Alto Municipio, Puerto Rico",29108,72,139
